eventdate,max_open_files
2019-09-02 00:00:00.000,2850
2019-09-02 01:00:00.000,2908
2019-09-02 02:00:00.000,3550
2019-09-02 03:00:00.000,2803
2019-09-02 04:00:00.000,2894
2019-09-02 05:00:00.000,2860
2019-09-02 06:00:00.000,2789
2019-09-02 07:00:00.000,2884
2019-09-02 08:00:00.000,2978
2019-09-02 09:00:00.000,3031
2019-09-02 10:00:00.000,3031
2019-09-02 11:00:00.000,2962
2019-09-02 12:00:00.000,3021
2019-09-02 13:00:00.000,3051
2019-09-02 14:00:00.000,3249
2019-09-02 15:00:00.000,3013
2019-09-02 16:00:00.000,3057
2019-09-02 17:00:00.000,2979
2019-09-02 18:00:00.000,3024
2019-09-02 19:00:00.000,3054
2019-09-02 20:00:00.000,3098
2019-09-02 21:00:00.000,3172
2019-09-02 22:00:00.000,3086
2019-09-02 23:00:00.000,3023
2019-09-03 00:00:00.000,2916
2019-09-03 01:00:00.000,3076
2019-09-03 02:00:00.000,3614
2019-09-03 03:00:00.000,2939
2019-09-03 04:00:00.000,2844
2019-09-03 05:00:00.000,2941
2019-09-03 06:00:00.000,2872
2019-09-03 07:00:00.000,2893
2019-09-03 08:00:00.000,3033
2019-09-03 09:00:00.000,3112
2019-09-03 10:00:00.000,3034
2019-09-03 11:00:00.000,2978
2019-09-03 12:00:00.000,3029
2019-09-03 13:00:00.000,2989
2019-09-03 14:00:00.000,3150
2019-09-03 15:00:00.000,3127
2019-09-03 16:00:00.000,3121
2019-09-03 17:00:00.000,3020
2019-09-03 18:00:00.000,2995
2019-09-03 19:00:00.000,3132
2019-09-03 20:00:00.000,2993
2019-09-03 21:00:00.000,3016
2019-09-03 22:00:00.000,3057
2019-09-03 23:00:00.000,2953
2019-09-04 00:00:00.000,2907
2019-09-04 01:00:00.000,3002
2019-09-04 02:00:00.000,3583
2019-09-04 03:00:00.000,2926
2019-09-04 04:00:00.000,2831
2019-09-04 05:00:00.000,2923
2019-09-04 06:00:00.000,2861
2019-09-04 07:00:00.000,2942
2019-09-04 08:00:00.000,2923
2019-09-04 09:00:00.000,3141
2019-09-04 10:00:00.000,3082
2019-09-04 11:00:00.000,3148
2019-09-04 12:00:00.000,3186
2019-09-04 13:00:00.000,3149
2019-09-04 14:00:00.000,3045
2019-09-04 15:00:00.000,3067
2019-09-04 16:00:00.000,3013
2019-09-04 17:00:00.000,3083
2019-09-04 18:00:00.000,3031
2019-09-04 19:00:00.000,3087
2019-09-04 20:00:00.000,3008
2019-09-04 21:00:00.000,3029
2019-09-04 22:00:00.000,3126
2019-09-04 23:00:00.000,2917
2019-09-05 00:00:00.000,2952
2019-09-05 01:00:00.000,2975
2019-09-05 02:00:00.000,3636
2019-09-05 03:00:00.000,2794
2019-09-05 04:00:00.000,2838
2019-09-05 05:00:00.000,2864
2019-09-05 06:00:00.000,2736
2019-09-05 07:00:00.000,2736
2019-09-05 08:00:00.000,2912
2019-09-05 09:00:00.000,3036
2019-09-05 10:00:00.000,3069
2019-09-05 11:00:00.000,3015
2019-09-05 12:00:00.000,3105
2019-09-05 13:00:00.000,3020
2019-09-05 14:00:00.000,2958
2019-09-05 15:00:00.000,3002
2019-09-05 16:00:00.000,3020
2019-09-05 17:00:00.000,3009
2019-09-05 18:00:00.000,2989
2019-09-05 19:00:00.000,2970
2019-09-05 20:00:00.000,2960
2019-09-05 21:00:00.000,2870
2019-09-05 22:00:00.000,2906
2019-09-05 23:00:00.000,2810
2019-09-06 00:00:00.000,2836
2019-09-06 01:00:00.000,2888
2019-09-06 02:00:00.000,3574
2019-09-06 03:00:00.000,2804
2019-09-06 04:00:00.000,2812
2019-09-06 05:00:00.000,2860
2019-09-06 06:00:00.000,2828
2019-09-06 07:00:00.000,2751
2019-09-06 08:00:00.000,2916
2019-09-06 09:00:00.000,3005
2019-09-06 10:00:00.000,3062
2019-09-06 11:00:00.000,3005
2019-09-06 12:00:00.000,3091
2019-09-06 13:00:00.000,2936
2019-09-06 14:00:00.000,2973
2019-09-06 15:00:00.000,2954
2019-09-06 16:00:00.000,3037
2019-09-06 17:00:00.000,3030
2019-09-06 18:00:00.000,2996
2019-09-06 19:00:00.000,3183
2019-09-06 20:00:00.000,2963
2019-09-06 21:00:00.000,3016
2019-09-06 22:00:00.000,2908
2019-09-06 23:00:00.000,2951
2019-09-07 00:00:00.000,2877
2019-09-07 01:00:00.000,2840
2019-09-07 02:00:00.000,3546
2019-09-07 03:00:00.000,2707
2019-09-07 04:00:00.000,2776
2019-09-07 05:00:00.000,2800
2019-09-07 06:00:00.000,2711
2019-09-07 07:00:00.000,2809
2019-09-07 08:00:00.000,2892
2019-09-07 09:00:00.000,2916
2019-09-07 10:00:00.000,2955
2019-09-07 11:00:00.000,2981
2019-09-07 12:00:00.000,3009
2019-09-07 13:00:00.000,3056
2019-09-07 14:00:00.000,3044
2019-09-07 15:00:00.000,2923
2019-09-07 16:00:00.000,2860
2019-09-07 17:00:00.000,2971
2019-09-07 18:00:00.000,2935
2019-09-07 19:00:00.000,3012
2019-09-07 20:00:00.000,2956
2019-09-07 21:00:00.000,3039
2019-09-07 22:00:00.000,3000
2019-09-07 23:00:00.000,2905
2019-09-08 00:00:00.000,2828
2019-09-08 01:00:00.000,2809
2019-09-08 02:00:00.000,3643
2019-09-08 03:00:00.000,2777
2019-09-08 04:00:00.000,2746
2019-09-08 05:00:00.000,3001
2019-09-08 06:00:00.000,2818
2019-09-08 07:00:00.000,2823
2019-09-08 08:00:00.000,2872
2019-09-08 09:00:00.000,2879
2019-09-08 10:00:00.000,2950
2019-09-08 11:00:00.000,2984
2019-09-08 12:00:00.000,2949
2019-09-08 13:00:00.000,2996
2019-09-08 14:00:00.000,2897
2019-09-08 15:00:00.000,2906
2019-09-08 16:00:00.000,2949
2019-09-08 17:00:00.000,3024
2019-09-08 18:00:00.000,2909
2019-09-08 19:00:00.000,2911
2019-09-08 20:00:00.000,3021
2019-09-08 21:00:00.000,2941
2019-09-08 22:00:00.000,2946
2019-09-08 23:00:00.000,2925
2019-09-09 00:00:00.000,2869
2019-09-09 01:00:00.000,3001
2019-09-09 02:00:00.000,3581
2019-09-09 03:00:00.000,2833
2019-09-09 04:00:00.000,2757
2019-09-09 05:00:00.000,2906
2019-09-09 06:00:00.000,2761
2019-09-09 07:00:00.000,2765
2019-09-09 08:00:00.000,2926
2019-09-09 09:00:00.000,2982
2019-09-09 10:00:00.000,3120
2019-09-09 11:00:00.000,2958
2019-09-09 12:00:00.000,3226
2019-09-09 13:00:00.000,3036
2019-09-09 14:00:00.000,3120
2019-09-09 15:00:00.000,3102
2019-09-09 16:00:00.000,3026
2019-09-09 17:00:00.000,3018
2019-09-09 18:00:00.000,3161
2019-09-09 19:00:00.000,2983
2019-09-09 20:00:00.000,3018
2019-09-09 21:00:00.000,3021
2019-09-09 22:00:00.000,3151
2019-09-09 23:00:00.000,3120
2019-09-10 00:00:00.000,2888
2019-09-10 01:00:00.000,2890
2019-09-10 02:00:00.000,3646
2019-09-10 03:00:00.000,2868
2019-09-10 04:00:00.000,2869
2019-09-10 05:00:00.000,2798
2019-09-10 06:00:00.000,2826
2019-09-10 07:00:00.000,2917
2019-09-10 08:00:00.000,2980
2019-09-10 09:00:00.000,3016
2019-09-10 10:00:00.000,3091
2019-09-10 11:00:00.000,3067
2019-09-10 12:00:00.000,3187
2019-09-10 13:00:00.000,3048
2019-09-10 14:00:00.000,3140
2019-09-10 15:00:00.000,2982
2019-09-10 16:00:00.000,3094
2019-09-10 17:00:00.000,3055
2019-09-10 18:00:00.000,3081
2019-09-10 19:00:00.000,3042
2019-09-10 20:00:00.000,3075
2019-09-10 21:00:00.000,3152
2019-09-10 22:00:00.000,2983
2019-09-10 23:00:00.000,2909
2019-09-11 00:00:00.000,2942
2019-09-11 01:00:00.000,2912
2019-09-11 02:00:00.000,3594
2019-09-11 03:00:00.000,2902
2019-09-11 04:00:00.000,2866
2019-09-11 05:00:00.000,2863
2019-09-11 06:00:00.000,2854
2019-09-11 07:00:00.000,2862
2019-09-11 08:00:00.000,3014
2019-09-11 09:00:00.000,3050
2019-09-11 10:00:00.000,3092
2019-09-11 11:00:00.000,3126
2019-09-11 12:00:00.000,3078
2019-09-11 13:00:00.000,3225
2019-09-11 14:00:00.000,3086
2019-09-11 15:00:00.000,3004
2019-09-11 16:00:00.000,3022
2019-09-11 17:00:00.000,3045
2019-09-11 18:00:00.000,3080
2019-09-11 19:00:00.000,3079
2019-09-11 20:00:00.000,3066
2019-09-11 21:00:00.000,2981
2019-09-11 22:00:00.000,2918
2019-09-11 23:00:00.000,2893
2019-09-12 00:00:00.000,2848
2019-09-12 01:00:00.000,2848
