,Batch,Fenotype,Fish,hist,bins
0,batch 3,KO179,ZebraF_1,1.6126421992512523,0.0
0,batch 3,KO179,ZebraF_1,0.6088112228728985,0.08333333333333333
0,batch 3,KO179,ZebraF_1,0.5306395497591347,0.16666666666666666
0,batch 3,KO179,ZebraF_1,0.5872452478747436,0.25
0,batch 3,KO179,ZebraF_1,0.7457022315808735,0.3333333333333333
0,batch 3,KO179,ZebraF_1,1.1846371930389872,0.41666666666666663
0,batch 3,KO179,ZebraF_1,1.3899246483153542,0.5
0,batch 3,KO179,ZebraF_1,1.4033047069140143,0.5833333333333333
0,batch 3,KO179,ZebraF_1,1.2310950336561628,0.6666666666666666
0,batch 3,KO179,ZebraF_1,1.0166742481610165,0.75
0,batch 3,KO179,ZebraF_1,0.6773694323645827,0.8333333333333333
0,batch 3,KO179,ZebraF_1,1.0119542862109778,0.9166666666666666
1,batch 3,KO179,ZebraF_10,0.7778768526009271,0.0
1,batch 3,KO179,ZebraF_10,0.9679111535128997,0.08333333333333333
1,batch 3,KO179,ZebraF_10,0.5140689407165705,0.16666666666666666
1,batch 3,KO179,ZebraF_10,0.09375835033909541,0.25
1,batch 3,KO179,ZebraF_10,0.001056436434724945,0.3333333333333333
1,batch 3,KO179,ZebraF_10,0.041668805754277616,0.41666666666666663
1,batch 3,KO179,ZebraF_10,0.22423943865854576,0.5
1,batch 3,KO179,ZebraF_10,0.7104131821156879,0.5833333333333333
1,batch 3,KO179,ZebraF_10,0.6051147212513025,0.6666666666666666
1,batch 3,KO179,ZebraF_10,2.5674551574466884,0.75
1,batch 3,KO179,ZebraF_10,2.355693832098727,0.8333333333333333
1,batch 3,KO179,ZebraF_10,3.1407431290705548,0.9166666666666666
2,batch 3,KO179,ZebraF_11,3.8617480103789967,0.0
2,batch 3,KO179,ZebraF_11,1.3971873977904596,0.08333333333333333
2,batch 3,KO179,ZebraF_11,1.0420400326219939,0.16666666666666666
2,batch 3,KO179,ZebraF_11,1.0605380753500606,0.25
2,batch 3,KO179,ZebraF_11,2.1731861552078318,0.3333333333333333
2,batch 3,KO179,ZebraF_11,1.7140106774083184,0.41666666666666663
2,batch 3,KO179,ZebraF_11,0.7512896512423405,0.5
2,batch 3,KO179,ZebraF_11,0.0,0.5833333333333333
2,batch 3,KO179,ZebraF_11,0.0,0.6666666666666666
2,batch 3,KO179,ZebraF_11,0.0,0.75
2,batch 3,KO179,ZebraF_11,0.0,0.8333333333333333
2,batch 3,KO179,ZebraF_11,0.0,0.9166666666666666
3,batch 3,KO179,ZebraF_12,3.4048437109863627,0.0
3,batch 3,KO179,ZebraF_12,1.572924068493008,0.08333333333333333
3,batch 3,KO179,ZebraF_12,1.0659534819313194,0.16666666666666666
3,batch 3,KO179,ZebraF_12,0.6710842496388303,0.25
3,batch 3,KO179,ZebraF_12,0.6862175657854499,0.3333333333333333
3,batch 3,KO179,ZebraF_12,0.7419021732858865,0.41666666666666663
3,batch 3,KO179,ZebraF_12,0.4595637798434391,0.5
3,batch 3,KO179,ZebraF_12,0.5408379548374737,0.5833333333333333
3,batch 3,KO179,ZebraF_12,0.5670694168176026,0.6666666666666666
3,batch 3,KO179,ZebraF_12,1.3935998683949762,0.75
3,batch 3,KO179,ZebraF_12,0.8392199799124276,0.8333333333333333
3,batch 3,KO179,ZebraF_12,0.056783750073223456,0.9166666666666666
4,batch 3,KO179,ZebraF_2,0.38661741640001723,0.0
4,batch 3,KO179,ZebraF_2,0.35059869798881005,0.08333333333333333
4,batch 3,KO179,ZebraF_2,0.5586191375089588,0.16666666666666666
4,batch 3,KO179,ZebraF_2,0.7173346280590575,0.25
4,batch 3,KO179,ZebraF_2,1.1934526972686854,0.3333333333333333
4,batch 3,KO179,ZebraF_2,1.739623491394417,0.41666666666666663
4,batch 3,KO179,ZebraF_2,1.9123528605471307,0.5
4,batch 3,KO179,ZebraF_2,0.9703141105652255,0.5833333333333333
4,batch 3,KO179,ZebraF_2,1.2450249975318222,0.6666666666666666
4,batch 3,KO179,ZebraF_2,1.4426627738947113,0.75
4,batch 3,KO179,ZebraF_2,1.1406071631797987,0.8333333333333333
4,batch 3,KO179,ZebraF_2,0.34279202566136646,0.9166666666666666
5,batch 3,KO179,ZebraF_3,3.696650479099968,0.0
5,batch 3,KO179,ZebraF_3,2.0397933351598856,0.08333333333333333
5,batch 3,KO179,ZebraF_3,1.2635460492512467,0.16666666666666666
5,batch 3,KO179,ZebraF_3,0.473231103129763,0.25
5,batch 3,KO179,ZebraF_3,0.3856045909905322,0.3333333333333333
5,batch 3,KO179,ZebraF_3,0.1461920055424157,0.41666666666666663
5,batch 3,KO179,ZebraF_3,0.2648783524288937,0.5
5,batch 3,KO179,ZebraF_3,0.3626027901191843,0.5833333333333333
5,batch 3,KO179,ZebraF_3,0.0685949875438649,0.6666666666666666
5,batch 3,KO179,ZebraF_3,0.23065269377213155,0.75
5,batch 3,KO179,ZebraF_3,1.4847839474404758,0.8333333333333333
5,batch 3,KO179,ZebraF_3,1.583469665521635,0.9166666666666666
6,batch 3,KO179,ZebraF_4,2.8255133803234376,0.0
6,batch 3,KO179,ZebraF_4,0.2348312488440867,0.08333333333333333
6,batch 3,KO179,ZebraF_4,0.11913012226294624,0.16666666666666666
6,batch 3,KO179,ZebraF_4,0.6546611363384202,0.25
6,batch 3,KO179,ZebraF_4,2.0073611289800675,0.3333333333333333
6,batch 3,KO179,ZebraF_4,0.16497911385250622,0.41666666666666663
6,batch 3,KO179,ZebraF_4,0.9775563861994071,0.5
6,batch 3,KO179,ZebraF_4,4.58399522430453,0.5833333333333333
6,batch 3,KO179,ZebraF_4,0.19766137599186442,0.6666666666666666
6,batch 3,KO179,ZebraF_4,0.03988195170533977,0.75
6,batch 3,KO179,ZebraF_4,0.19442893119739385,0.8333333333333333
6,batch 3,KO179,ZebraF_4,0.0,0.9166666666666666
7,batch 3,KO179,ZebraF_5,3.7341481239600594,0.0
7,batch 3,KO179,ZebraF_5,1.2916442761048272,0.08333333333333333
7,batch 3,KO179,ZebraF_5,0.6535119510898099,0.16666666666666666
7,batch 3,KO179,ZebraF_5,0.6935547443385255,0.25
7,batch 3,KO179,ZebraF_5,0.4334179568248128,0.3333333333333333
7,batch 3,KO179,ZebraF_5,0.7830839329769236,0.41666666666666663
7,batch 3,KO179,ZebraF_5,1.085199805045368,0.5
7,batch 3,KO179,ZebraF_5,0.7663681556996221,0.5833333333333333
7,batch 3,KO179,ZebraF_5,0.7799469069852679,0.6666666666666666
7,batch 3,KO179,ZebraF_5,1.120204055802155,0.75
7,batch 3,KO179,ZebraF_5,0.5051327452231567,0.8333333333333333
7,batch 3,KO179,ZebraF_5,0.15378734594947185,0.9166666666666666
8,batch 3,KO179,ZebraF_6,2.342495829146989,0.0
8,batch 3,KO179,ZebraF_6,0.9914213416189553,0.08333333333333333
8,batch 3,KO179,ZebraF_6,2.4197239015836045,0.16666666666666666
8,batch 3,KO179,ZebraF_6,0.8984654208702737,0.25
8,batch 3,KO179,ZebraF_6,3.85006257810793,0.3333333333333333
8,batch 3,KO179,ZebraF_6,1.0635631555702956,0.41666666666666663
8,batch 3,KO179,ZebraF_6,0.3127129426726056,0.5
8,batch 3,KO179,ZebraF_6,0.12155483042934837,0.5833333333333333
8,batch 3,KO179,ZebraF_6,0.0,0.6666666666666666
8,batch 3,KO179,ZebraF_6,0.0,0.75
8,batch 3,KO179,ZebraF_6,0.0,0.8333333333333333
8,batch 3,KO179,ZebraF_6,0.0,0.9166666666666666
9,batch 3,KO179,ZebraF_7,2.6072611353983985,0.0
9,batch 3,KO179,ZebraF_7,1.2243884364719735,0.08333333333333333
9,batch 3,KO179,ZebraF_7,1.0498611689354433,0.16666666666666666
9,batch 3,KO179,ZebraF_7,0.847762822805469,0.25
9,batch 3,KO179,ZebraF_7,0.6122130831152549,0.3333333333333333
9,batch 3,KO179,ZebraF_7,0.5756032743890465,0.41666666666666663
9,batch 3,KO179,ZebraF_7,0.5215750896462084,0.5
9,batch 3,KO179,ZebraF_7,0.6653763703524141,0.5833333333333333
9,batch 3,KO179,ZebraF_7,1.12067799145398,0.6666666666666666
9,batch 3,KO179,ZebraF_7,0.7846035542137223,0.75
9,batch 3,KO179,ZebraF_7,1.121327005668571,0.8333333333333333
9,batch 3,KO179,ZebraF_7,0.8693500675495199,0.9166666666666666
10,batch 3,KO179,ZebraF_8,0.08981131414248147,0.0
10,batch 3,KO179,ZebraF_8,0.04484078709495635,0.08333333333333333
10,batch 3,KO179,ZebraF_8,0.19995948383776604,0.16666666666666666
10,batch 3,KO179,ZebraF_8,0.056297846418252716,0.25
10,batch 3,KO179,ZebraF_8,0.37040938956490277,0.3333333333333333
